fips,PST045213,PST045212,PST040210,PST120213,PST120212,POP010210,AGE135212,AGE295212,AGE775212,SEX255212,RHI125212,RHI225212,RHI325212,RHI425212,RHI525212,RHI625212,RHI725212,RHI825212,POP715212,POP645212,POP815212,EDU635212,EDU685212,VET605212,LFE305212,HSG010212,HSG445212,HSG096212,HSG495212,HSD410212,HSD310212,INC910212,INC110212,PVY020212,BZA010211,BZA110211,BZA115211,NES010211,SBO001207,SBO315207,SBO115207,SBO215207,SBO515207,SBO415207,SBO015207,MAN450207,WTN220207,RTN130207,RTN131207,AFN120207,BPS030212,LND110210,POP060210
00000,316128839,313873685,308747716,2.4,1.7,308745538,6.4,23.5,13.7,50.8,77.9,13.1,1.2,5.1,0.2,2.4,16.9,63.0,84.8,12.9,20.5,85.7,28.5,21853912,25.4,132452405,65.5,25.9,181400,115226802,2.61,28051,53046,14.9,7354043,113425965,1.3,22491080,27092908,7.1,0.9,5.7,0.1,8.3,28.8,5319456312,4174286516,3917663456,12990,613795732,829658,3531905.43,87.4
01000,4833722,4817528,4779758,1.1,0.8,4779736,6.3,23.3,14.5,51.5,70.0,26.5,0.7,1.2,0.1,1.5,4.1,66.6,84.9,3.5,5.2,82.6,22.3,398343,24.1,2189545,70.2,15.8,122300,1837576,2.54,23587,43160,18.1,97743,1573138,0.3,321641,382350,14.8,0.8,1.8,0.1,1.2,28.1,112858843,52252752,57344851,12364,6426342,13506,50645.33,94.4
01001,0,55514,54571,0,1.7,54571,6.5,26.0,13.0,51.3,78.5,18.4,0.5,1.0,0.1,1.5,2.6,76.4,86.3,1.4,3.1,85.1,21.7,6036,25.6,22360,77.7,7.9,137900,19934,2.72,25253,53773,11.6,835,10290,1.2,3062,4067,15.2,0.0,1.3,0.0,0.7,31.7,0,0,598175,12003,88157,385,594.44,91.8
01003,0,190790,182265,0,4.7,182265,5.9,22.6,17.7,51.2,87.3,9.6,0.7,0.8,0.1,1.5,4.6,83.2,82.6,3.7,5.3,88.4,27.7,19903,25.7,105279,74.1,24.4,172900,72751,2.48,26769,50706,13.3,4624,51386,0.4,16097,19035,2.7,0.4,1.0,0.0,1.3,27.3,1410273,0,2966489,17166,436955,1184,1589.78,114.6
01005,0,27201,27457,0,-0.9,27457,5.6,21.2,15.2,46.3,50.5,47.4,0.7,0.4,0.2,0.8,5.1,46.4,83.4,2.8,5.1,73.6,14.5,2174,24.6,11845,66.7,9.6,88700,9423,2.60,16532,31889,26.1,501,7572,-0.4,1513,1667,0.0,0.0,0.0,0.0,0.0,27.0,0,0,188337,6334,0,2,884.88,31.0
01007,0,22597,22919,0,-1.4,22915,5.4,21.6,13.9,46.0,76.2,22.3,0.4,0.1,0.1,0.9,2.0,74.6,87.9,1.3,1.9,76.1,9.0,1650,28.4,8978,81.0,5.5,91600,7386,2.95,17611,36824,16.5,285,2980,1.8,1193,1385,14.9,0.0,0.0,0.0,0.0,0.0,0,0,124707,5804,10757,16,622.58,36.8
01009,0,57826,57322,0,0.9,57322,6.2,24.0,15.9,50.5,96.2,1.7,0.6,0.3,0.1,1.1,8.6,88.1,87.6,4.7,7.3,75.7,12.4,4245,34.3,23869,81.1,4.5,115200,21031,2.71,21155,45192,14.7,690,6345,-1.4,3544,4458,0.0,0.0,0.0,0.0,0.0,23.2,341544,0,319700,5622,20941,6,644.78,88.9
01011,0,10474,10915,0,-4.0,10914,6.8,21.2,14.6,45.6,27.2,69.7,0.9,0.2,0.8,1.1,7.6,22.6,85.3,4.6,4.9,70.3,11.9,739,26.3,4479,77.3,10.4,73900,3740,2.75,19822,34500,22.2,113,0,0.0,478,417,0.0,0.0,0.0,0.0,0.0,38.8,0,0,43810,3995,3670,0,622.81,17.5
01013,0,20307,20946,0,-3.1,20947,6.1,23.1,17.4,53.2,54.4,43.5,0.3,1.0,0.0,0.7,1.2,53.7,93.6,1.3,2.1,76.3,12.9,1690,24.0,9941,70.4,13.3,73500,8149,2.51,17564,30752,25.7,411,5354,-3.3,1259,1769,0.0,0.0,3.3,0.0,0.0,0.0,399132,56712,229277,11326,28427,9,776.83,27.0
01015,0,117296,118572,0,-1.1,118572,6.1,22.7,15.2,51.8,76.0,21.0,0.5,0.8,0.1,1.6,3.5,73.2,84.1,2.4,4.8,78.8,16.0,11636,21.8,53320,69.8,13.9,101900,45764,2.51,20881,40093,21.4,2333,36093,-2.3,6387,8713,7.2,0.0,1.6,0.0,0.5,24.7,2679991,0,1542981,13678,186533,71,605.87,195.7
01017,0,34064,34215,0,-0.4,34215,5.8,22.0,17.6,52.3,58.9,39.1,0.2,0.6,0.1,1.1,1.9,57.6,84.9,1.2,1.7,73.8,11.0,2736,24.1,16949,69.2,11.2,78000,13634,2.48,18478,32181,23.3,557,6419,4.6,2299,1981,0.0,0.0,0.0,0.0,0.0,29.3,667283,0,264650,7620,23237,9,596.53,57.4
01019,0,26021,25986,0,0.1,25989,4.8,20.8,19.3,50.3,93.2,4.6,0.5,0.3,0.0,1.4,1.4,91.9,89.1,0.8,1.4,77.1,13.1,2054,27.4,16279,74.4,5.3,99900,11758,2.17,22472,36241,19.5,351,3590,3.6,1652,2180,0.0,0.0,0.0,0.0,0.0,14.5,307439,62293,186321,7613,13948,9,553.70,46.9
01021,0,43819,43642,0,0.4,43643,6.7,24.6,14.5,50.6,87.7,10.2,0.5,0.4,0.2,1.1,7.8,80.8,88.6,4.7,7.2,75.7,12.5,3144,32.9,19259,75.1,4.1,103700,16293,2.65,21132,40834,18.6,709,6644,-1.7,2726,0,0.0,0.0,0.0,0.0,0.0,0.0,0,155139,359910,8496,34073,17,692.85,63.0
01023,0,13633,13858,0,-1.6,13859,5.3,21.8,19.6,52.3,55.9,43.2,0.2,0.2,0.0,0.5,0.7,55.5,92.4,0.3,1.2,74.1,11.9,863,33.6,7252,83.9,3.3,59300,5303,2.58,19354,35123,20.2,264,2754,-1.8,892,1102,26.2,0.0,0.0,0.0,0.0,44.1,0,52904,84633,5969,11345,1,913.50,15.2
01025,0,25161,25840,0,-2.6,25833,5.6,23.6,17.2,52.8,54.3,44.2,0.4,0.3,0.0,0.7,1.1,53.5,92.5,0.6,1.4,78.4,12.7,1585,24.9,12605,76.1,7.8,84800,9321,2.74,19563,30954,26.4,601,6430,-1.6,1765,2374,0.0,0.0,0.0,0.0,0.0,28.6,571454,85803,344311,13034,23596,8,1238.47,20.9
01027,0,13435,13932,0,-3.6,13932,5.6,22.2,18.5,50.6,83.1,14.6,0.5,0.2,0.0,1.6,3.2,80.2,87.0,1.9,3.1,74.2,8.8,1095,29.4,6756,75.3,9.2,80600,5734,2.36,18136,34556,19.8,184,3001,-4.3,751,1005,0.0,0.0,0.0,0.0,0.0,0.0,330878,0,70558,5123,4352,0,603.96,23.1
01029,0,14832,14972,0,-0.9,14972,5.6,22.9,17.5,50.4,94.6,3.7,0.4,0.2,0.1,1.1,2.2,92.6,88.5,1.2,2.0,74.2,9.5,920,30.6,6710,78.7,5.9,91300,5518,2.67,19049,37244,18.0,157,1567,-19.0,954,1280,0.0,0.0,0.0,0.0,0.0,17.7,0,5888,133407,9080,4134,1,560.10,26.7
01031,0,51252,49948,0,2.6,49948,6.6,23.9,14.9,50.5,76.8,17.5,1.4,1.4,0.4,2.5,6.4,71.8,83.6,4.7,7.2,81.8,22.6,6153,21.2,22740,70.8,13.9,126400,19002,2.59,23441,44626,17.1,953,12407,-1.6,2699,4032,6.0,0.0,1.3,0.0,0.7,29.3,613758,131594,639623,13665,50080,91,678.97,73.6
01033,0,54446,54428,0,0.0,54428,5.8,21.8,17.8,51.9,81.0,16.4,0.6,0.5,0.0,1.5,2.3,79.1,86.2,1.7,2.5,83.4,18.0,4419,23.0,25910,72.7,12.4,101500,22290,2.42,22186,40158,16.2,1257,18980,1.5,3867,4757,0.0,0.0,0.0,0.0,0.0,22.8,2083166,351388,821284,15040,61935,166,592.62,91.8
01035,0,12981,13228,0,-1.9,13228,5.5,22.4,19.2,51.8,51.9,46.2,0.4,0.1,0.0,1.3,1.7,51.1,96.8,0.4,1.1,75.8,9.7,1115,24.9,7078,80.2,5.3,74200,4879,2.69,16648,27064,30.4,212,2316,-11.8,716,980,0.0,0.0,0.0,0.0,0.0,23.0,183544,76736,71232,5430,8667,1,850.16,15.6
