"Program","Year","Period","Week Ending","Geo Level","State","State ANSI","Ag District","Ag District Code","County","County ANSI","Zip Code","Region","Watershed","Commodity","Data Item","Domain","Domain Category","Value"
"CENSUS","2007","YEAR","","COUNTY","ALABAMA","01","BLACK BELT","40","AUTAUGA","001","","","","COTTON","COTTON - ACRES HARVESTED","TOTAL","NOT SPECIFIED","2,760"
"CENSUS","2007","YEAR","","COUNTY","ALABAMA","01","BLACK BELT","40","BULLOCK","011","","","","COTTON","COTTON - ACRES HARVESTED","TOTAL","NOT SPECIFIED"," (D)"
"CENSUS","2007","YEAR","","COUNTY","ALABAMA","01","BLACK BELT","40","DALLAS","047","","","","COTTON","COTTON - ACRES HARVESTED","TOTAL","NOT SPECIFIED","4,566"
"CENSUS","2007","YEAR","","COUNTY","ALABAMA","01","BLACK BELT","40","ELMORE","051","","","","COTTON","COTTON - ACRES HARVESTED","TOTAL","NOT SPECIFIED","12,316"
"CENSUS","2007","YEAR","","COUNTY","ALABAMA","01","BLACK BELT","40","HALE","065","","","","COTTON","COTTON - ACRES HARVESTED","TOTAL","NOT SPECIFIED"," (D)"
"CENSUS","2007","YEAR","","COUNTY","ALABAMA","01","BLACK BELT","40","MACON","087","","","","COTTON","COTTON - ACRES HARVESTED","TOTAL","NOT SPECIFIED","3,493"
"CENSUS","2007","YEAR","","COUNTY","ALABAMA","01","BLACK BELT","40","MARENGO","091","","","","COTTON","COTTON - ACRES HARVESTED","TOTAL","NOT SPECIFIED","4,384"
"CENSUS","2007","YEAR","","COUNTY","ALABAMA","01","BLACK BELT","40","MONTGOMERY","101","","","","COTTON","COTTON - ACRES HARVESTED","TOTAL","NOT SPECIFIED","1,560"
"CENSUS","2007","YEAR","","COUNTY","ALABAMA","01","BLACK BELT","40","PERRY","105","","","","COTTON","COTTON - ACRES HARVESTED","TOTAL","NOT SPECIFIED"," (D)"
"CENSUS","2007","YEAR","","COUNTY","ALABAMA","01","COASTAL PLAINS & GULF COAST","50","BALDWIN","003","","","","COTTON","COTTON - ACRES HARVESTED","TOTAL","NOT SPECIFIED","10,964"
"CENSUS","2007","YEAR","","COUNTY","ALABAMA","01","COASTAL PLAINS & GULF COAST","50","BUTLER","013","","","","COTTON","COTTON - ACRES HARVESTED","TOTAL","NOT SPECIFIED"," (D)"
"CENSUS","2007","YEAR","","COUNTY","ALABAMA","01","COASTAL PLAINS & GULF COAST","50","CLARKE","025","","","","COTTON","COTTON - ACRES HARVESTED","TOTAL","NOT SPECIFIED"," (D)"
"CENSUS","2007","YEAR","","COUNTY","ALABAMA","01","COASTAL PLAINS & GULF COAST","50","CONECUH","035","","","","COTTON","COTTON - ACRES HARVESTED","TOTAL","NOT SPECIFIED","2,285"
"CENSUS","2007","YEAR","","COUNTY","ALABAMA","01","COASTAL PLAINS & GULF COAST","50","ESCAMBIA","053","","","","COTTON","COTTON - ACRES HARVESTED","TOTAL","NOT SPECIFIED","18,274"
"CENSUS","2007","YEAR","","COUNTY","ALABAMA","01","COASTAL PLAINS & GULF COAST","50","MOBILE","097","","","","COTTON","COTTON - ACRES HARVESTED","TOTAL","NOT SPECIFIED","5,092"
"CENSUS","2007","YEAR","","COUNTY","ALABAMA","01","COASTAL PLAINS & GULF COAST","50","MONROE","099","","","","COTTON","COTTON - ACRES HARVESTED","TOTAL","NOT SPECIFIED","18,132"
"CENSUS","2007","YEAR","","COUNTY","ALABAMA","01","COASTAL PLAINS & GULF COAST","50","WASHINGTON","129","","","","COTTON","COTTON - ACRES HARVESTED","TOTAL","NOT SPECIFIED"," (D)"
"CENSUS","2007","YEAR","","COUNTY","ALABAMA","01","COASTAL PLAINS & GULF COAST","50","WILCOX","131","","","","COTTON","COTTON - ACRES HARVESTED","TOTAL","NOT SPECIFIED"," (D)"
"CENSUS","2007","YEAR","","COUNTY","ALABAMA","01","MOUNTAINS & EASTERN VALLEY","20","BLOUNT","009","","","","COTTON","COTTON - ACRES HARVESTED","TOTAL","NOT SPECIFIED","3,390"
"CENSUS","2007","YEAR","","COUNTY","ALABAMA","01","MOUNTAINS & EASTERN VALLEY","20","CALHOUN","015","","","","COTTON","COTTON - ACRES HARVESTED","TOTAL","NOT SPECIFIED","2,081"
"CENSUS","2007","YEAR","","COUNTY","ALABAMA","01","MOUNTAINS & EASTERN VALLEY","20","CHEROKEE","019","","","","COTTON","COTTON - ACRES HARVESTED","TOTAL","NOT SPECIFIED","13,451"
"CENSUS","2007","YEAR","","COUNTY","ALABAMA","01","MOUNTAINS & EASTERN VALLEY","20","CULLMAN","043","","","","COTTON","COTTON - ACRES HARVESTED","TOTAL","NOT SPECIFIED","833"
"CENSUS","2007","YEAR","","COUNTY","ALABAMA","01","MOUNTAINS & EASTERN VALLEY","20","DE KALB","049","","","","COTTON","COTTON - ACRES HARVESTED","TOTAL","NOT SPECIFIED"," (D)"
"CENSUS","2007","YEAR","","COUNTY","ALABAMA","01","MOUNTAINS & EASTERN VALLEY","20","ETOWAH","055","","","","COTTON","COTTON - ACRES HARVESTED","TOTAL","NOT SPECIFIED","2,316"
"CENSUS","2007","YEAR","","COUNTY","ALABAMA","01","MOUNTAINS & EASTERN VALLEY","20","JACKSON","071","","","","COTTON","COTTON - ACRES HARVESTED","TOTAL","NOT SPECIFIED","4,581"
"CENSUS","2007","YEAR","","COUNTY","ALABAMA","01","NORTHERN VALLEY","10","COLBERT","033","","","","COTTON","COTTON - ACRES HARVESTED","TOTAL","NOT SPECIFIED","11,521"
"CENSUS","2007","YEAR","","COUNTY","ALABAMA","01","NORTHERN VALLEY","10","FRANKLIN","059","","","","COTTON","COTTON - ACRES HARVESTED","TOTAL","NOT SPECIFIED"," (D)"
"CENSUS","2007","YEAR","","COUNTY","ALABAMA","01","NORTHERN VALLEY","10","LAUDERDALE","077","","","","COTTON","COTTON - ACRES HARVESTED","TOTAL","NOT SPECIFIED","21,541"
"CENSUS","2007","YEAR","","COUNTY","ALABAMA","01","NORTHERN VALLEY","10","LAWRENCE","079","","","","COTTON","COTTON - ACRES HARVESTED","TOTAL","NOT SPECIFIED","25,732"
"CENSUS","2007","YEAR","","COUNTY","ALABAMA","01","NORTHERN VALLEY","10","LIMESTONE","083","","","","COTTON","COTTON - ACRES HARVESTED","TOTAL","NOT SPECIFIED","44,101"
"CENSUS","2007","YEAR","","COUNTY","ALABAMA","01","NORTHERN VALLEY","10","MADISON","089","","","","COTTON","COTTON - ACRES HARVESTED","TOTAL","NOT SPECIFIED","36,107"
"CENSUS","2007","YEAR","","COUNTY","ALABAMA","01","NORTHERN VALLEY","10","MARION","093","","","","COTTON","COTTON - ACRES HARVESTED","TOTAL","NOT SPECIFIED"," (D)"
"CENSUS","2007","YEAR","","COUNTY","ALABAMA","01","NORTHERN VALLEY","10","MORGAN","103","","","","COTTON","COTTON - ACRES HARVESTED","TOTAL","NOT SPECIFIED","1,044"
"CENSUS","2007","YEAR","","COUNTY","ALABAMA","01","UPPER PLAINS & PIEDMONT","30","CHAMBERS","017","","","","COTTON","COTTON - ACRES HARVESTED","TOTAL","NOT SPECIFIED"," (D)"
"CENSUS","2007","YEAR","","COUNTY","ALABAMA","01","UPPER PLAINS & PIEDMONT","30","CHILTON","021","","","","COTTON","COTTON - ACRES HARVESTED","TOTAL","NOT SPECIFIED","1,008"
"CENSUS","2007","YEAR","","COUNTY","ALABAMA","01","UPPER PLAINS & PIEDMONT","30","FAYETTE","057","","","","COTTON","COTTON - ACRES HARVESTED","TOTAL","NOT SPECIFIED"," (D)"
"CENSUS","2007","YEAR","","COUNTY","ALABAMA","01","UPPER PLAINS & PIEDMONT","30","LEE","081","","","","COTTON","COTTON - ACRES HARVESTED","TOTAL","NOT SPECIFIED","1,557"
"CENSUS","2007","YEAR","","COUNTY","ALABAMA","01","UPPER PLAINS & PIEDMONT","30","SHELBY","117","","","","COTTON","COTTON - ACRES HARVESTED","TOTAL","NOT SPECIFIED","2,141"
"CENSUS","2007","YEAR","","COUNTY","ALABAMA","01","UPPER PLAINS & PIEDMONT","30","TALLADEGA","121","","","","COTTON","COTTON - ACRES HARVESTED","TOTAL","NOT SPECIFIED","2,992"
"CENSUS","2007","YEAR","","COUNTY","ALABAMA","01","UPPER PLAINS & PIEDMONT","30","TALLAPOOSA","123","","","","COTTON","COTTON - ACRES HARVESTED","TOTAL","NOT SPECIFIED"," (D)"
"CENSUS","2007","YEAR","","COUNTY","ALABAMA","01","UPPER PLAINS & PIEDMONT","30","TUSCALOOSA","125","","","","COTTON","COTTON - ACRES HARVESTED","TOTAL","NOT SPECIFIED","3,486"
"CENSUS","2007","YEAR","","COUNTY","ALABAMA","01","WIREGRASS","60","BARBOUR","005","","","","COTTON","COTTON - ACRES HARVESTED","TOTAL","NOT SPECIFIED","4,882"
"CENSUS","2007","YEAR","","COUNTY","ALABAMA","01","WIREGRASS","60","COFFEE","031","","","","COTTON","COTTON - ACRES HARVESTED","TOTAL","NOT SPECIFIED","16,390"
"CENSUS","2007","YEAR","","COUNTY","ALABAMA","01","WIREGRASS","60","COVINGTON","039","","","","COTTON","COTTON - ACRES HARVESTED","TOTAL","NOT SPECIFIED","13,030"
"CENSUS","2007","YEAR","","COUNTY","ALABAMA","01","WIREGRASS","60","CRENSHAW","041","","","","COTTON","COTTON - ACRES HARVESTED","TOTAL","NOT SPECIFIED"," (D)"
"CENSUS","2007","YEAR","","COUNTY","ALABAMA","01","WIREGRASS","60","DALE","045","","","","COTTON","COTTON - ACRES HARVESTED","TOTAL","NOT SPECIFIED","8,749"
"CENSUS","2007","YEAR","","COUNTY","ALABAMA","01","WIREGRASS","60","GENEVA","061","","","","COTTON","COTTON - ACRES HARVESTED","TOTAL","NOT SPECIFIED","19,355"
"CENSUS","2007","YEAR","","COUNTY","ALABAMA","01","WIREGRASS","60","HENRY","067","","","","COTTON","COTTON - ACRES HARVESTED","TOTAL","NOT SPECIFIED","17,330"
"CENSUS","2007","YEAR","","COUNTY","ALABAMA","01","WIREGRASS","60","HOUSTON","069","","","","COTTON","COTTON - ACRES HARVESTED","TOTAL","NOT SPECIFIED","23,556"
"CENSUS","2007","YEAR","","COUNTY","ALABAMA","01","WIREGRASS","60","PIKE","109","","","","COTTON","COTTON - ACRES HARVESTED","TOTAL","NOT SPECIFIED","3,694"
"CENSUS","2007","YEAR","","COUNTY","ALABAMA","01","WIREGRASS","60","RUSSELL","113","","","","COTTON","COTTON - ACRES HARVESTED","TOTAL","NOT SPECIFIED"," (D)"
"CENSUS","2007","YEAR","","COUNTY","ARIZONA","04","NORTHERN","10","GILA","007","","","","COTTON","COTTON - ACRES HARVESTED","TOTAL","NOT SPECIFIED"," (D)"
"CENSUS","2007","YEAR","","COUNTY","ARIZONA","04","NORTHERN","10","MOHAVE","015","","","","COTTON","COTTON - ACRES HARVESTED","TOTAL","NOT SPECIFIED"," (D)"
"CENSUS","2007","YEAR","","COUNTY","ARIZONA","04","SOUTHERN","80","COCHISE","003","","","","COTTON","COTTON - ACRES HARVESTED","TOTAL","NOT SPECIFIED"," (D)"
"CENSUS","2007","YEAR","","COUNTY","ARIZONA","04","SOUTHERN","80","GRAHAM","009","","","","COTTON","COTTON - ACRES HARVESTED","TOTAL","NOT SPECIFIED","16,781"
"CENSUS","2007","YEAR","","COUNTY","ARIZONA","04","SOUTHERN","80","GREENLEE","011","","","","COTTON","COTTON - ACRES HARVESTED","TOTAL","NOT SPECIFIED","294"
"CENSUS","2007","YEAR","","COUNTY","ARIZONA","04","SOUTHERN","80","LAPAZ","012","","","","COTTON","COTTON - ACRES HARVESTED","TOTAL","NOT SPECIFIED","13,855"
"CENSUS","2007","YEAR","","COUNTY","ARIZONA","04","SOUTHERN","80","MARICOPA","013","","","","COTTON","COTTON - ACRES HARVESTED","TOTAL","NOT SPECIFIED","26,234"
"CENSUS","2007","YEAR","","COUNTY","ARIZONA","04","SOUTHERN","80","PIMA","019","","","","COTTON","COTTON - ACRES HARVESTED","TOTAL","NOT SPECIFIED","16,227"
"CENSUS","2007","YEAR","","COUNTY","ARIZONA","04","SOUTHERN","80","PINAL","021","","","","COTTON","COTTON - ACRES HARVESTED","TOTAL","NOT SPECIFIED","73,718"
