"Program","Year","Period","Week Ending","Geo Level","State","State ANSI","Ag District","Ag District Code","County","County ANSI","Zip Code","Region","Watershed","Commodity","Data Item","Domain","Domain Category","Value"
"CENSUS","2007","YEAR","","STATE","ALABAMA","01","","","","","","","","CORN","CORN, GRAIN - ACRES HARVESTED","TOTAL","NOT SPECIFIED","276,661"
"CENSUS","2007","YEAR","","STATE","ARIZONA","04","","","","","","","","CORN","CORN, GRAIN - ACRES HARVESTED","TOTAL","NOT SPECIFIED","22,654"
"CENSUS","2007","YEAR","","STATE","ARKANSAS","05","","","","","","","","CORN","CORN, GRAIN - ACRES HARVESTED","TOTAL","NOT SPECIFIED","584,629"
"CENSUS","2007","YEAR","","STATE","CALIFORNIA","06","","","","","","","","CORN","CORN, GRAIN - ACRES HARVESTED","TOTAL","NOT SPECIFIED","189,965"
"CENSUS","2007","YEAR","","STATE","COLORADO","08","","","","","","","","CORN","CORN, GRAIN - ACRES HARVESTED","TOTAL","NOT SPECIFIED","1,054,844"
"CENSUS","2007","YEAR","","STATE","CONNECTICUT","09","","","","","","","","CORN","CORN, GRAIN - ACRES HARVESTED","TOTAL","NOT SPECIFIED","3,563"
"CENSUS","2007","YEAR","","STATE","DELAWARE","10","","","","","","","","CORN","CORN, GRAIN - ACRES HARVESTED","TOTAL","NOT SPECIFIED","185,407"
"CENSUS","2007","YEAR","","STATE","FLORIDA","12","","","","","","","","CORN","CORN, GRAIN - ACRES HARVESTED","TOTAL","NOT SPECIFIED","33,915"
"CENSUS","2007","YEAR","","STATE","GEORGIA","13","","","","","","","","CORN","CORN, GRAIN - ACRES HARVESTED","TOTAL","NOT SPECIFIED","449,007"
"CENSUS","2007","YEAR","","STATE","HAWAII","15","","","","","","","","CORN","CORN, GRAIN - ACRES HARVESTED","TOTAL","NOT SPECIFIED","3,115"
"CENSUS","2007","YEAR","","STATE","IDAHO","16","","","","","","","","CORN","CORN, GRAIN - ACRES HARVESTED","TOTAL","NOT SPECIFIED","104,570"
"CENSUS","2007","YEAR","","STATE","ILLINOIS","17","","","","","","","","CORN","CORN, GRAIN - ACRES HARVESTED","TOTAL","NOT SPECIFIED","13,096,231"
"CENSUS","2007","YEAR","","STATE","INDIANA","18","","","","","","","","CORN","CORN, GRAIN - ACRES HARVESTED","TOTAL","NOT SPECIFIED","6,362,576"
"CENSUS","2007","YEAR","","STATE","IOWA","19","","","","","","","","CORN","CORN, GRAIN - ACRES HARVESTED","TOTAL","NOT SPECIFIED","13,842,282"
"CENSUS","2007","YEAR","","STATE","KANSAS","20","","","","","","","","CORN","CORN, GRAIN - ACRES HARVESTED","TOTAL","NOT SPECIFIED","3,680,278"
"CENSUS","2007","YEAR","","STATE","KENTUCKY","21","","","","","","","","CORN","CORN, GRAIN - ACRES HARVESTED","TOTAL","NOT SPECIFIED","1,313,320"
"CENSUS","2007","YEAR","","STATE","LOUISIANA","22","","","","","","","","CORN","CORN, GRAIN - ACRES HARVESTED","TOTAL","NOT SPECIFIED","722,387"
"CENSUS","2007","YEAR","","STATE","MAINE","23","","","","","","","","CORN","CORN, GRAIN - ACRES HARVESTED","TOTAL","NOT SPECIFIED","3,272"
"CENSUS","2007","YEAR","","STATE","MARYLAND","24","","","","","","","","CORN","CORN, GRAIN - ACRES HARVESTED","TOTAL","NOT SPECIFIED","460,137"
"CENSUS","2007","YEAR","","STATE","MASSACHUSETTS","25","","","","","","","","CORN","CORN, GRAIN - ACRES HARVESTED","TOTAL","NOT SPECIFIED","2,432"
"CENSUS","2007","YEAR","","STATE","MICHIGAN","26","","","","","","","","CORN","CORN, GRAIN - ACRES HARVESTED","TOTAL","NOT SPECIFIED","2,350,668"
"CENSUS","2007","YEAR","","STATE","MINNESOTA","27","","","","","","","","CORN","CORN, GRAIN - ACRES HARVESTED","TOTAL","NOT SPECIFIED","7,801,001"
"CENSUS","2007","YEAR","","STATE","MISSISSIPPI","28","","","","","","","","CORN","CORN, GRAIN - ACRES HARVESTED","TOTAL","NOT SPECIFIED","873,618"
"CENSUS","2007","YEAR","","STATE","MISSOURI","29","","","","","","","","CORN","CORN, GRAIN - ACRES HARVESTED","TOTAL","NOT SPECIFIED","3,256,195"
"CENSUS","2007","YEAR","","STATE","MONTANA","30","","","","","","","","CORN","CORN, GRAIN - ACRES HARVESTED","TOTAL","NOT SPECIFIED","38,002"
"CENSUS","2007","YEAR","","STATE","NEBRASKA","31","","","","","","","","CORN","CORN, GRAIN - ACRES HARVESTED","TOTAL","NOT SPECIFIED","9,192,656"
"CENSUS","2007","YEAR","","STATE","NEVADA","32","","","","","","","","CORN","CORN, GRAIN - ACRES HARVESTED","TOTAL","NOT SPECIFIED","473"
"CENSUS","2007","YEAR","","STATE","NEW HAMPSHIRE","33","","","","","","","","CORN","CORN, GRAIN - ACRES HARVESTED","TOTAL","NOT SPECIFIED","226"
"CENSUS","2007","YEAR","","STATE","NEW JERSEY","34","","","","","","","","CORN","CORN, GRAIN - ACRES HARVESTED","TOTAL","NOT SPECIFIED","81,556"
