"Program","Year","Period","Week Ending","Geo Level","State","State ANSI","Ag District","Ag District Code","County","County ANSI","Zip Code","Region","Watershed","Commodity","Data Item","Domain","Domain Category","Value"
"CENSUS","2007","YEAR","","COUNTY","ALABAMA","01","BLACK BELT","40","AUTAUGA","001","","","","CORN","CORN, GRAIN - ACRES HARVESTED","TOTAL","NOT SPECIFIED","1,464"
"CENSUS","2007","YEAR","","COUNTY","ALABAMA","01","BLACK BELT","40","BULLOCK","011","","","","CORN","CORN, GRAIN - ACRES HARVESTED","TOTAL","NOT SPECIFIED","866"
"CENSUS","2007","YEAR","","COUNTY","ALABAMA","01","BLACK BELT","40","DALLAS","047","","","","CORN","CORN, GRAIN - ACRES HARVESTED","TOTAL","NOT SPECIFIED","5,670"
"CENSUS","2007","YEAR","","COUNTY","ALABAMA","01","BLACK BELT","40","ELMORE","051","","","","CORN","CORN, GRAIN - ACRES HARVESTED","TOTAL","NOT SPECIFIED","2,176"
"CENSUS","2007","YEAR","","COUNTY","ALABAMA","01","BLACK BELT","40","GREENE","063","","","","CORN","CORN, GRAIN - ACRES HARVESTED","TOTAL","NOT SPECIFIED","28"
"CENSUS","2007","YEAR","","COUNTY","ALABAMA","01","BLACK BELT","40","HALE","065","","","","CORN","CORN, GRAIN - ACRES HARVESTED","TOTAL","NOT SPECIFIED","2,670"
"CENSUS","2007","YEAR","","COUNTY","ALABAMA","01","BLACK BELT","40","LOWNDES","085","","","","CORN","CORN, GRAIN - ACRES HARVESTED","TOTAL","NOT SPECIFIED","3,260"
"CENSUS","2007","YEAR","","COUNTY","ALABAMA","01","BLACK BELT","40","MACON","087","","","","CORN","CORN, GRAIN - ACRES HARVESTED","TOTAL","NOT SPECIFIED","3,317"
"CENSUS","2007","YEAR","","COUNTY","ALABAMA","01","BLACK BELT","40","MARENGO","091","","","","CORN","CORN, GRAIN - ACRES HARVESTED","TOTAL","NOT SPECIFIED","473"
"CENSUS","2007","YEAR","","COUNTY","ALABAMA","01","BLACK BELT","40","MONTGOMERY","101","","","","CORN","CORN, GRAIN - ACRES HARVESTED","TOTAL","NOT SPECIFIED","1,882"
"CENSUS","2007","YEAR","","COUNTY","ALABAMA","01","BLACK BELT","40","PERRY","105","","","","CORN","CORN, GRAIN - ACRES HARVESTED","TOTAL","NOT SPECIFIED","1,451"
"CENSUS","2007","YEAR","","COUNTY","ALABAMA","01","BLACK BELT","40","SUMTER","119","","","","CORN","CORN, GRAIN - ACRES HARVESTED","TOTAL","NOT SPECIFIED","803"
