"Program","Year","Period","Week Ending","Geo Level","State","State ANSI","Ag District","Ag District Code","County","County ANSI","Zip Code","Region","Watershed","Commodity","Data Item","Domain","Domain Category","Value"
"CENSUS","2007","YEAR","","STATE","ALABAMA","01","","","","","","","","WHEAT","WHEAT - ACRES HARVESTED","TOTAL","NOT SPECIFIED","76,202"
"CENSUS","2007","YEAR","","STATE","ARIZONA","04","","","","","","","","WHEAT","WHEAT - ACRES HARVESTED","TOTAL","NOT SPECIFIED","85,567"
"CENSUS","2007","YEAR","","STATE","ARKANSAS","05","","","","","","","","WHEAT","WHEAT - ACRES HARVESTED","TOTAL","NOT SPECIFIED","696,681"
"CENSUS","2007","YEAR","","STATE","CALIFORNIA","06","","","","","","","","WHEAT","WHEAT - ACRES HARVESTED","TOTAL","NOT SPECIFIED","354,165"
"CENSUS","2007","YEAR","","STATE","COLORADO","08","","","","","","","","WHEAT","WHEAT - ACRES HARVESTED","TOTAL","NOT SPECIFIED","2,369,096"
"CENSUS","2007","YEAR","","STATE","CONNECTICUT","09","","","","","","","","WHEAT","WHEAT - ACRES HARVESTED","TOTAL","NOT SPECIFIED","55"
"CENSUS","2007","YEAR","","STATE","DELAWARE","10","","","","","","","","WHEAT","WHEAT - ACRES HARVESTED","TOTAL","NOT SPECIFIED","54,546"
"CENSUS","2007","YEAR","","STATE","FLORIDA","12","","","","","","","","WHEAT","WHEAT - ACRES HARVESTED","TOTAL","NOT SPECIFIED","9,157"
"CENSUS","2007","YEAR","","STATE","GEORGIA","13","","","","","","","","WHEAT","WHEAT - ACRES HARVESTED","TOTAL","NOT SPECIFIED","228,959"
"CENSUS","2007","YEAR","","STATE","IDAHO","16","","","","","","","","WHEAT","WHEAT - ACRES HARVESTED","TOTAL","NOT SPECIFIED","1,191,086"
"CENSUS","2007","YEAR","","STATE","ILLINOIS","17","","","","","","","","WHEAT","WHEAT - ACRES HARVESTED","TOTAL","NOT SPECIFIED","891,567"
"CENSUS","2007","YEAR","","STATE","INDIANA","18","","","","","","","","WHEAT","WHEAT - ACRES HARVESTED","TOTAL","NOT SPECIFIED","362,571"
"CENSUS","2007","YEAR","","STATE","IOWA","19","","","","","","","","WHEAT","WHEAT - ACRES HARVESTED","TOTAL","NOT SPECIFIED","29,512"
"CENSUS","2007","YEAR","","STATE","KANSAS","20","","","","","","","","WHEAT","WHEAT - ACRES HARVESTED","TOTAL","NOT SPECIFIED","8,527,780"
"CENSUS","2007","YEAR","","STATE","KENTUCKY","21","","","","","","","","WHEAT","WHEAT - ACRES HARVESTED","TOTAL","NOT SPECIFIED","239,267"
"CENSUS","2007","YEAR","","STATE","LOUISIANA","22","","","","","","","","WHEAT","WHEAT - ACRES HARVESTED","TOTAL","NOT SPECIFIED","215,177"
"CENSUS","2007","YEAR","","STATE","MAINE","23","","","","","","","","WHEAT","WHEAT - ACRES HARVESTED","TOTAL","NOT SPECIFIED","512"
"CENSUS","2007","YEAR","","STATE","MARYLAND","24","","","","","","","","WHEAT","WHEAT - ACRES HARVESTED","TOTAL","NOT SPECIFIED","166,713"
"CENSUS","2007","YEAR","","STATE","MASSACHUSETTS","25","","","","","","","","WHEAT","WHEAT - ACRES HARVESTED","TOTAL","NOT SPECIFIED"," (D)"
"CENSUS","2007","YEAR","","STATE","MICHIGAN","26","","","","","","","","WHEAT","WHEAT - ACRES HARVESTED","TOTAL","NOT SPECIFIED","523,153"
"CENSUS","2007","YEAR","","STATE","MINNESOTA","27","","","","","","","","WHEAT","WHEAT - ACRES HARVESTED","TOTAL","NOT SPECIFIED","1,718,565"
"CENSUS","2007","YEAR","","STATE","MISSISSIPPI","28","","","","","","","","WHEAT","WHEAT - ACRES HARVESTED","TOTAL","NOT SPECIFIED","331,767"
"CENSUS","2007","YEAR","","STATE","MISSOURI","29","","","","","","","","WHEAT","WHEAT - ACRES HARVESTED","TOTAL","NOT SPECIFIED","881,227"
"CENSUS","2007","YEAR","","STATE","MONTANA","30","","","","","","","","WHEAT","WHEAT - ACRES HARVESTED","TOTAL","NOT SPECIFIED","5,059,916"
"CENSUS","2007","YEAR","","STATE","NEBRASKA","31","","","","","","","","WHEAT","WHEAT - ACRES HARVESTED","TOTAL","NOT SPECIFIED","1,964,302"
"CENSUS","2007","YEAR","","STATE","NEVADA","32","","","","","","","","WHEAT","WHEAT - ACRES HARVESTED","TOTAL","NOT SPECIFIED","12,826"
"CENSUS","2007","YEAR","","STATE","NEW HAMPSHIRE","33","","","","","","","","WHEAT","WHEAT - ACRES HARVESTED","TOTAL","NOT SPECIFIED"," (D)"
"CENSUS","2007","YEAR","","STATE","NEW JERSEY","34","","","","","","","","WHEAT","WHEAT - ACRES HARVESTED","TOTAL","NOT SPECIFIED","27,991"
"CENSUS","2007","YEAR","","STATE","NEW MEXICO","35","","","","","","","","WHEAT","WHEAT - ACRES HARVESTED","TOTAL","NOT SPECIFIED","302,958"
"CENSUS","2007","YEAR","","STATE","NEW YORK","36","","","","","","","","WHEAT","WHEAT - ACRES HARVESTED","TOTAL","NOT SPECIFIED","84,955"
"CENSUS","2007","YEAR","","STATE","NORTH CAROLINA","37","","","","","","","","WHEAT","WHEAT - ACRES HARVESTED","TOTAL","NOT SPECIFIED","511,713"
"CENSUS","2007","YEAR","","STATE","NORTH DAKOTA","38","","","","","","","","WHEAT","WHEAT - ACRES HARVESTED","TOTAL","NOT SPECIFIED","8,428,462"
"CENSUS","2007","YEAR","","STATE","OHIO","39","","","","","","","","WHEAT","WHEAT - ACRES HARVESTED","TOTAL","NOT SPECIFIED","732,106"
"CENSUS","2007","YEAR","","STATE","OKLAHOMA","40","","","","","","","","WHEAT","WHEAT - ACRES HARVESTED","TOTAL","NOT SPECIFIED","3,421,098"
"CENSUS","2007","YEAR","","STATE","OREGON","41","","","","","","","","WHEAT","WHEAT - ACRES HARVESTED","TOTAL","NOT SPECIFIED","855,052"
"CENSUS","2007","YEAR","","STATE","PENNSYLVANIA","42","","","","","","","","WHEAT","WHEAT - ACRES HARVESTED","TOTAL","NOT SPECIFIED","152,528"
"CENSUS","2007","YEAR","","STATE","SOUTH CAROLINA","45","","","","","","","","WHEAT","WHEAT - ACRES HARVESTED","TOTAL","NOT SPECIFIED","136,766"
"CENSUS","2007","YEAR","","STATE","SOUTH DAKOTA","46","","","","","","","","WHEAT","WHEAT - ACRES HARVESTED","TOTAL","NOT SPECIFIED","3,341,778"
"CENSUS","2007","YEAR","","STATE","TENNESSEE","47","","","","","","","","WHEAT","WHEAT - ACRES HARVESTED","TOTAL","NOT SPECIFIED","254,944"
"CENSUS","2007","YEAR","","STATE","TEXAS","48","","","","","","","","WHEAT","WHEAT - ACRES HARVESTED","TOTAL","NOT SPECIFIED","3,844,241"
"CENSUS","2007","YEAR","","STATE","UTAH","49","","","","","","","","WHEAT","WHEAT - ACRES HARVESTED","TOTAL","NOT SPECIFIED","137,404"
"CENSUS","2007","YEAR","","STATE","VERMONT","50","","","","","","","","WHEAT","WHEAT - ACRES HARVESTED","TOTAL","NOT SPECIFIED","379"
"CENSUS","2007","YEAR","","STATE","VIRGINIA","51","","","","","","","","WHEAT","WHEAT - ACRES HARVESTED","TOTAL","NOT SPECIFIED","200,342"
"CENSUS","2007","YEAR","","STATE","WASHINGTON","53","","","","","","","","WHEAT","WHEAT - ACRES HARVESTED","TOTAL","NOT SPECIFIED","2,096,350"
