"Program","Year","Period","Week Ending","Geo Level","State","State ANSI","Ag District","Ag District Code","County","County ANSI","Zip Code","Region","Watershed","Commodity","Data Item","Domain","Domain Category","Value"
"CENSUS","2007","YEAR","","COUNTY","ALABAMA","01","BLACK BELT","40","AUTAUGA","001","","","","WHEAT","WHEAT - ACRES HARVESTED","TOTAL","NOT SPECIFIED","1,404"
"CENSUS","2007","YEAR","","COUNTY","ALABAMA","01","BLACK BELT","40","DALLAS","047","","","","WHEAT","WHEAT - ACRES HARVESTED","TOTAL","NOT SPECIFIED","3,287"
"CENSUS","2007","YEAR","","COUNTY","ALABAMA","01","BLACK BELT","40","ELMORE","051","","","","WHEAT","WHEAT - ACRES HARVESTED","TOTAL","NOT SPECIFIED","460"
"CENSUS","2007","YEAR","","COUNTY","ALABAMA","01","BLACK BELT","40","HALE","065","","","","WHEAT","WHEAT - ACRES HARVESTED","TOTAL","NOT SPECIFIED","742"
"CENSUS","2007","YEAR","","COUNTY","ALABAMA","01","BLACK BELT","40","LOWNDES","085","","","","WHEAT","WHEAT - ACRES HARVESTED","TOTAL","NOT SPECIFIED"," (D)"
"CENSUS","2007","YEAR","","COUNTY","ALABAMA","01","BLACK BELT","40","MACON","087","","","","WHEAT","WHEAT - ACRES HARVESTED","TOTAL","NOT SPECIFIED"," (D)"
"CENSUS","2007","YEAR","","COUNTY","ALABAMA","01","BLACK BELT","40","MARENGO","091","","","","WHEAT","WHEAT - ACRES HARVESTED","TOTAL","NOT SPECIFIED"," (D)"
"CENSUS","2007","YEAR","","COUNTY","ALABAMA","01","BLACK BELT","40","MONTGOMERY","101","","","","WHEAT","WHEAT - ACRES HARVESTED","TOTAL","NOT SPECIFIED"," (D)"
"CENSUS","2007","YEAR","","COUNTY","ALABAMA","01","BLACK BELT","40","PERRY","105","","","","WHEAT","WHEAT - ACRES HARVESTED","TOTAL","NOT SPECIFIED","456"
"CENSUS","2007","YEAR","","COUNTY","ALABAMA","01","COASTAL PLAINS & GULF COAST","50","BALDWIN","003","","","","WHEAT","WHEAT - ACRES HARVESTED","TOTAL","NOT SPECIFIED","5,963"
"CENSUS","2007","YEAR","","COUNTY","ALABAMA","01","COASTAL PLAINS & GULF COAST","50","BUTLER","013","","","","WHEAT","WHEAT - ACRES HARVESTED","TOTAL","NOT SPECIFIED"," (D)"
"CENSUS","2007","YEAR","","COUNTY","ALABAMA","01","COASTAL PLAINS & GULF COAST","50","CLARKE","025","","","","WHEAT","WHEAT - ACRES HARVESTED","TOTAL","NOT SPECIFIED"," (D)"
"CENSUS","2007","YEAR","","COUNTY","ALABAMA","01","COASTAL PLAINS & GULF COAST","50","CONECUH","035","","","","WHEAT","WHEAT - ACRES HARVESTED","TOTAL","NOT SPECIFIED"," (D)"
"CENSUS","2007","YEAR","","COUNTY","ALABAMA","01","COASTAL PLAINS & GULF COAST","50","ESCAMBIA","053","","","","WHEAT","WHEAT - ACRES HARVESTED","TOTAL","NOT SPECIFIED","3,898"
"CENSUS","2007","YEAR","","COUNTY","ALABAMA","01","COASTAL PLAINS & GULF COAST","50","MONROE","099","","","","WHEAT","WHEAT - ACRES HARVESTED","TOTAL","NOT SPECIFIED","760"
"CENSUS","2007","YEAR","","COUNTY","ALABAMA","01","COASTAL PLAINS & GULF COAST","50","WASHINGTON","129","","","","WHEAT","WHEAT - ACRES HARVESTED","TOTAL","NOT SPECIFIED"," (D)"
"CENSUS","2007","YEAR","","COUNTY","ALABAMA","01","COASTAL PLAINS & GULF COAST","50","WILCOX","131","","","","WHEAT","WHEAT - ACRES HARVESTED","TOTAL","NOT SPECIFIED"," (D)"
"CENSUS","2007","YEAR","","COUNTY","ALABAMA","01","MOUNTAINS & EASTERN VALLEY","20","BLOUNT","009","","","","WHEAT","WHEAT - ACRES HARVESTED","TOTAL","NOT SPECIFIED"," (D)"
"CENSUS","2007","YEAR","","COUNTY","ALABAMA","01","MOUNTAINS & EASTERN VALLEY","20","CALHOUN","015","","","","WHEAT","WHEAT - ACRES HARVESTED","TOTAL","NOT SPECIFIED","615"
"CENSUS","2007","YEAR","","COUNTY","ALABAMA","01","MOUNTAINS & EASTERN VALLEY","20","CHEROKEE","019","","","","WHEAT","WHEAT - ACRES HARVESTED","TOTAL","NOT SPECIFIED","1,647"
"CENSUS","2007","YEAR","","COUNTY","ALABAMA","01","MOUNTAINS & EASTERN VALLEY","20","CULLMAN","043","","","","WHEAT","WHEAT - ACRES HARVESTED","TOTAL","NOT SPECIFIED","386"
"CENSUS","2007","YEAR","","COUNTY","ALABAMA","01","MOUNTAINS & EASTERN VALLEY","20","DE KALB","049","","","","WHEAT","WHEAT - ACRES HARVESTED","TOTAL","NOT SPECIFIED","1,955"
"CENSUS","2007","YEAR","","COUNTY","ALABAMA","01","MOUNTAINS & EASTERN VALLEY","20","ETOWAH","055","","","","WHEAT","WHEAT - ACRES HARVESTED","TOTAL","NOT SPECIFIED","95"
"CENSUS","2007","YEAR","","COUNTY","ALABAMA","01","MOUNTAINS & EASTERN VALLEY","20","JACKSON","071","","","","WHEAT","WHEAT - ACRES HARVESTED","TOTAL","NOT SPECIFIED","2,050"
