"Program","Year","Period","Week Ending","Geo Level","State","State ANSI","Ag District","Ag District Code","County","County ANSI","Zip Code","Region","Watershed","Commodity","Data Item","Domain","Domain Category","Value"
"CENSUS","2007","YEAR","","STATE","ALABAMA","01","","","","","","","","COTTON","COTTON - PRODUCTION, MEASURED IN BALES","TOTAL","NOT SPECIFIED","407,598"
"CENSUS","2007","YEAR","","STATE","ARIZONA","04","","","","","","","","COTTON","COTTON - PRODUCTION, MEASURED IN BALES","TOTAL","NOT SPECIFIED","513,758"
"CENSUS","2007","YEAR","","STATE","ARKANSAS","05","","","","","","","","COTTON","COTTON - PRODUCTION, MEASURED IN BALES","TOTAL","NOT SPECIFIED","1,902,073"
"CENSUS","2007","YEAR","","STATE","CALIFORNIA","06","","","","","","","","COTTON","COTTON - PRODUCTION, MEASURED IN BALES","TOTAL","NOT SPECIFIED","1,418,751"
"CENSUS","2007","YEAR","","STATE","FLORIDA","12","","","","","","","","COTTON","COTTON - PRODUCTION, MEASURED IN BALES","TOTAL","NOT SPECIFIED","109,206"
"CENSUS","2007","YEAR","","STATE","GEORGIA","13","","","","","","","","COTTON","COTTON - PRODUCTION, MEASURED IN BALES","TOTAL","NOT SPECIFIED","1,628,260"
"CENSUS","2007","YEAR","","STATE","KANSAS","20","","","","","","","","COTTON","COTTON - PRODUCTION, MEASURED IN BALES","TOTAL","NOT SPECIFIED","54,814"
"CENSUS","2007","YEAR","","STATE","LOUISIANA","22","","","","","","","","COTTON","COTTON - PRODUCTION, MEASURED IN BALES","TOTAL","NOT SPECIFIED","698,557"
"CENSUS","2007","YEAR","","STATE","MISSISSIPPI","28","","","","","","","","COTTON","COTTON - PRODUCTION, MEASURED IN BALES","TOTAL","NOT SPECIFIED","1,289,270"
"CENSUS","2007","YEAR","","STATE","MISSOURI","29","","","","","","","","COTTON","COTTON - PRODUCTION, MEASURED IN BALES","TOTAL","NOT SPECIFIED","723,043"
"CENSUS","2007","YEAR","","STATE","NEW MEXICO","35","","","","","","","","COTTON","COTTON - PRODUCTION, MEASURED IN BALES","TOTAL","NOT SPECIFIED","97,206"
"CENSUS","2007","YEAR","","STATE","NORTH CAROLINA","37","","","","","","","","COTTON","COTTON - PRODUCTION, MEASURED IN BALES","TOTAL","NOT SPECIFIED","785,557"
"CENSUS","2007","YEAR","","STATE","OKLAHOMA","40","","","","","","","","COTTON","COTTON - PRODUCTION, MEASURED IN BALES","TOTAL","NOT SPECIFIED","279,871"
"CENSUS","2007","YEAR","","STATE","SOUTH CAROLINA","45","","","","","","","","COTTON","COTTON - PRODUCTION, MEASURED IN BALES","TOTAL","NOT SPECIFIED","159,213"
"CENSUS","2007","YEAR","","STATE","TENNESSEE","47","","","","","","","","COTTON","COTTON - PRODUCTION, MEASURED IN BALES","TOTAL","NOT SPECIFIED","581,236"
"CENSUS","2007","YEAR","","STATE","TEXAS","48","","","","","","","","COTTON","COTTON - PRODUCTION, MEASURED IN BALES","TOTAL","NOT SPECIFIED","8,147,970"
"CENSUS","2007","YEAR","","STATE","VIRGINIA","51","","","","","","","","COTTON","COTTON - PRODUCTION, MEASURED IN BALES","TOTAL","NOT SPECIFIED","101,745"
