"Program","Year","Period","Week Ending","Geo Level","State","State ANSI","Ag District","Ag District Code","County","County ANSI","Zip Code","Region","Watershed","Commodity","Data Item","Domain","Domain Category","Value"
"CENSUS","2007","YEAR","","STATE","ALABAMA","01","","","","","","","","SOYBEANS","SOYBEANS - PRODUCTION, MEASURED IN BU","TOTAL","NOT SPECIFIED","3,660,854"
"CENSUS","2007","YEAR","","STATE","ARKANSAS","05","","","","","","","","SOYBEANS","SOYBEANS - PRODUCTION, MEASURED IN BU","TOTAL","NOT SPECIFIED","98,903,025"
"CENSUS","2007","YEAR","","STATE","COLORADO","08","","","","","","","","SOYBEANS","SOYBEANS - PRODUCTION, MEASURED IN BU","TOTAL","NOT SPECIFIED","148,420"
"CENSUS","2007","YEAR","","STATE","CONNECTICUT","09","","","","","","","","SOYBEANS","SOYBEANS - PRODUCTION, MEASURED IN BU","TOTAL","NOT SPECIFIED","13,365"
"CENSUS","2007","YEAR","","STATE","DELAWARE","10","","","","","","","","SOYBEANS","SOYBEANS - PRODUCTION, MEASURED IN BU","TOTAL","NOT SPECIFIED","3,990,694"
"CENSUS","2007","YEAR","","STATE","FLORIDA","12","","","","","","","","SOYBEANS","SOYBEANS - PRODUCTION, MEASURED IN BU","TOTAL","NOT SPECIFIED","291,981"
"CENSUS","2007","YEAR","","STATE","GEORGIA","13","","","","","","","","SOYBEANS","SOYBEANS - PRODUCTION, MEASURED IN BU","TOTAL","NOT SPECIFIED","7,970,113"
"CENSUS","2007","YEAR","","STATE","ILLINOIS","17","","","","","","","","SOYBEANS","SOYBEANS - PRODUCTION, MEASURED IN BU","TOTAL","NOT SPECIFIED","353,741,105"
"CENSUS","2007","YEAR","","STATE","INDIANA","18","","","","","","","","SOYBEANS","SOYBEANS - PRODUCTION, MEASURED IN BU","TOTAL","NOT SPECIFIED","211,074,079"
"CENSUS","2007","YEAR","","STATE","IOWA","19","","","","","","","","SOYBEANS","SOYBEANS - PRODUCTION, MEASURED IN BU","TOTAL","NOT SPECIFIED","430,739,578"
"CENSUS","2007","YEAR","","STATE","KANSAS","20","","","","","","","","SOYBEANS","SOYBEANS - PRODUCTION, MEASURED IN BU","TOTAL","NOT SPECIFIED","82,719,224"
"CENSUS","2007","YEAR","","STATE","KENTUCKY","21","","","","","","","","SOYBEANS","SOYBEANS - PRODUCTION, MEASURED IN BU","TOTAL","NOT SPECIFIED","29,582,097"
"CENSUS","2007","YEAR","","STATE","LOUISIANA","22","","","","","","","","SOYBEANS","SOYBEANS - PRODUCTION, MEASURED IN BU","TOTAL","NOT SPECIFIED","24,717,263"
"CENSUS","2007","YEAR","","STATE","MAINE","23","","","","","","","","SOYBEANS","SOYBEANS - PRODUCTION, MEASURED IN BU","TOTAL","NOT SPECIFIED","22,570"
"CENSUS","2007","YEAR","","STATE","MARYLAND","24","","","","","","","","SOYBEANS","SOYBEANS - PRODUCTION, MEASURED IN BU","TOTAL","NOT SPECIFIED","10,381,954"
"CENSUS","2007","YEAR","","STATE","MASSACHUSETTS","25","","","","","","","","SOYBEANS","SOYBEANS - PRODUCTION, MEASURED IN BU","TOTAL","NOT SPECIFIED","10,530"
"CENSUS","2007","YEAR","","STATE","MICHIGAN","26","","","","","","","","SOYBEANS","SOYBEANS - PRODUCTION, MEASURED IN BU","TOTAL","NOT SPECIFIED","67,515,728"
"CENSUS","2007","YEAR","","STATE","MINNESOTA","27","","","","","","","","SOYBEANS","SOYBEANS - PRODUCTION, MEASURED IN BU","TOTAL","NOT SPECIFIED","259,891,979"
"CENSUS","2007","YEAR","","STATE","MISSISSIPPI","28","","","","","","","","SOYBEANS","SOYBEANS - PRODUCTION, MEASURED IN BU","TOTAL","NOT SPECIFIED","54,316,854"
"CENSUS","2007","YEAR","","STATE","MISSOURI","29","","","","","","","","SOYBEANS","SOYBEANS - PRODUCTION, MEASURED IN BU","TOTAL","NOT SPECIFIED","165,947,323"
"CENSUS","2007","YEAR","","STATE","MONTANA","30","","","","","","","","SOYBEANS","SOYBEANS - PRODUCTION, MEASURED IN BU","TOTAL","NOT SPECIFIED","16,084"
"CENSUS","2007","YEAR","","STATE","NEBRASKA","31","","","","","","","","SOYBEANS","SOYBEANS - PRODUCTION, MEASURED IN BU","TOTAL","NOT SPECIFIED","189,547,373"
"CENSUS","2007","YEAR","","STATE","NEW JERSEY","34","","","","","","","","SOYBEANS","SOYBEANS - PRODUCTION, MEASURED IN BU","TOTAL","NOT SPECIFIED","2,443,231"
"CENSUS","2007","YEAR","","STATE","NEW MEXICO","35","","","","","","","","SOYBEANS","SOYBEANS - PRODUCTION, MEASURED IN BU","TOTAL","NOT SPECIFIED"," (D)"
"CENSUS","2007","YEAR","","STATE","NEW YORK","36","","","","","","","","SOYBEANS","SOYBEANS - PRODUCTION, MEASURED IN BU","TOTAL","NOT SPECIFIED","7,456,657"
"CENSUS","2007","YEAR","","STATE","NORTH CAROLINA","37","","","","","","","","SOYBEANS","SOYBEANS - PRODUCTION, MEASURED IN BU","TOTAL","NOT SPECIFIED","29,142,115"
"CENSUS","2007","YEAR","","STATE","NORTH DAKOTA","38","","","","","","","","SOYBEANS","SOYBEANS - PRODUCTION, MEASURED IN BU","TOTAL","NOT SPECIFIED","106,556,290"
"CENSUS","2007","YEAR","","STATE","OHIO","39","","","","","","","","SOYBEANS","SOYBEANS - PRODUCTION, MEASURED IN BU","TOTAL","NOT SPECIFIED","191,559,567"
"CENSUS","2007","YEAR","","STATE","OKLAHOMA","40","","","","","","","","SOYBEANS","SOYBEANS - PRODUCTION, MEASURED IN BU","TOTAL","NOT SPECIFIED","4,559,245"
"CENSUS","2007","YEAR","","STATE","OREGON","41","","","","","","","","SOYBEANS","SOYBEANS - PRODUCTION, MEASURED IN BU","TOTAL","NOT SPECIFIED"," (D)"
"CENSUS","2007","YEAR","","STATE","PENNSYLVANIA","42","","","","","","","","SOYBEANS","SOYBEANS - PRODUCTION, MEASURED IN BU","TOTAL","NOT SPECIFIED","17,386,829"
"CENSUS","2007","YEAR","","STATE","SOUTH CAROLINA","45","","","","","","","","SOYBEANS","SOYBEANS - PRODUCTION, MEASURED IN BU","TOTAL","NOT SPECIFIED","7,833,696"
"CENSUS","2007","YEAR","","STATE","SOUTH DAKOTA","46","","","","","","","","SOYBEANS","SOYBEANS - PRODUCTION, MEASURED IN BU","TOTAL","NOT SPECIFIED","130,377,538"
"CENSUS","2007","YEAR","","STATE","TENNESSEE","47","","","","","","","","SOYBEANS","SOYBEANS - PRODUCTION, MEASURED IN BU","TOTAL","NOT SPECIFIED","18,552,793"
"CENSUS","2007","YEAR","","STATE","TEXAS","48","","","","","","","","SOYBEANS","SOYBEANS - PRODUCTION, MEASURED IN BU","TOTAL","NOT SPECIFIED","3,439,765"
"CENSUS","2007","YEAR","","STATE","VERMONT","50","","","","","","","","SOYBEANS","SOYBEANS - PRODUCTION, MEASURED IN BU","TOTAL","NOT SPECIFIED","75,318"
