"Notes"	"Age Group"	"Age Group Code"	"County"	"County Code"	Deaths	Population	Crude Rate
	"< 1 year"	"1"	"Autauga County, AL"	"01001"	58	7596	763.6
	"< 1 year"	"1"	"Baldwin County, AL"	"01003"	168	23966	701.0
	"< 1 year"	"1"	"Barbour County, AL"	"01005"	46	4257	1080.6
	"< 1 year"	"1"	"Bibb County, AL"	"01007"	34	3489	974.5
	"< 1 year"	"1"	"Blount County, AL"	"01009"	69	8752	788.4
	"< 1 year"	"1"	"Bullock County, AL"	"01011"	23	1833	1254.8
	"< 1 year"	"1"	"Butler County, AL"	"01013"	26	3256	798.5
	"< 1 year"	"1"	"Calhoun County, AL"	"01015"	155	17127	905.0
	"< 1 year"	"1"	"Chambers County, AL"	"01017"	38	5020	757.0
	"< 1 year"	"1"	"Cherokee County, AL"	"01019"	24	3302	726.8
	"< 1 year"	"1"	"Chilton County, AL"	"01021"	73	6998	1043.2
	"< 1 year"	"1"	"Choctaw County, AL"	"01023"	13	2095	620.5 (Unreliable)
	"< 1 year"	"1"	"Clarke County, AL"	"01025"	35	4213	830.8
	"< 1 year"	"1"	"Clay County, AL"	"01027"	18	2024	889.3 (Unreliable)
	"< 1 year"	"1"	"Cleburne County, AL"	"01029"	14	2077	674.0 (Unreliable)
	"< 1 year"	"1"	"Coffee County, AL"	"01031"	53	7566	700.5
	"< 1 year"	"1"	"Colbert County, AL"	"01033"	69	7501	919.9
	"< 1 year"	"1"	"Conecuh County, AL"	"01035"	23	2082	1104.7
	"< 1 year"	"1"	"Coosa County, AL"	"01037"	17	1361	1249.1 (Unreliable)
	"< 1 year"	"1"	"Covington County, AL"	"01039"	40	5342	748.8
	"< 1 year"	"1"	"Crenshaw County, AL"	"01041"	18	1945	925.4 (Unreliable)
	"< 1 year"	"1"	"Cullman County, AL"	"01043"	79	12012	657.7
	"< 1 year"	"1"	"Dale County, AL"	"01045"	62	8880	698.2
	"< 1 year"	"1"	"Dallas County, AL"	"01047"	71	8206	865.2
	"< 1 year"	"1"	"DeKalb County, AL"	"01049"	80	11851	675.0
	"< 1 year"	"1"	"Elmore County, AL"	"01051"	84	11473	732.2
	"< 1 year"	"1"	"Escambia County, AL"	"01053"	64	5903	1084.2
	"< 1 year"	"1"	"Etowah County, AL"	"01055"	139	15751	882.5
	"< 1 year"	"1"	"Fayette County, AL"	"01057"	20	2531	790.2
	"< 1 year"	"1"	"Franklin County, AL"	"01059"	51	5578	914.3
	"< 1 year"	"1"	"Geneva County, AL"	"01061"	26	3694	703.8
	"< 1 year"	"1"	"Greene County, AL"	"01063"	16	1559	1026.3 (Unreliable)
	"< 1 year"	"1"	"Hale County, AL"	"01065"	29	2739	1058.8
	"< 1 year"	"1"	"Henry County, AL"	"01067"	12	2301	521.5 (Unreliable)
	"< 1 year"	"1"	"Houston County, AL"	"01069"	129	15605	826.7
	"< 1 year"	"1"	"Jackson County, AL"	"01071"	59	7585	777.9
	"< 1 year"	"1"	"Jefferson County, AL"	"01073"	1290	107472	1200.3
	"< 1 year"	"1"	"Lamar County, AL"	"01075"	20	2099	952.8
	"< 1 year"	"1"	"Lauderdale County, AL"	"01077"	81	12123	668.2
	"< 1 year"	"1"	"Lawrence County, AL"	"01079"	36	5173	695.9
	"< 1 year"	"1"	"Lee County, AL"	"01081"	143	18834	759.3
	"< 1 year"	"1"	"Limestone County, AL"	"01083"	74	11335	652.8
	"< 1 year"	"1"	"Lowndes County, AL"	"01085"	23	2143	1073.3
	"< 1 year"	"1"	"Macon County, AL"	"01087"	38	2952	1287.3
	"< 1 year"	"1"	"Madison County, AL"	"01089"	381	45764	832.5
	"< 1 year"	"1"	"Marengo County, AL"	"01091"	42	3187	1317.9
	"< 1 year"	"1"	"Marion County, AL"	"01093"	44	4309	1021.1
	"< 1 year"	"1"	"Marshall County, AL"	"01095"	151	14943	1010.5
	"< 1 year"	"1"	"Mobile County, AL"	"01097"	652	69516	937.9
	"< 1 year"	"1"	"Monroe County, AL"	"01099"	26	3863	673.1
	"< 1 year"	"1"	"Montgomery County, AL"	"01101"	393	38780	1013.4
	"< 1 year"	"1"	"Morgan County, AL"	"01103"	144	17378	828.6
	"< 1 year"	"1"	"Perry County, AL"	"01105"	21	1947	1078.6
	"< 1 year"	"1"	"Pickens County, AL"	"01107"	36	3371	1067.9
	"< 1 year"	"1"	"Pike County, AL"	"01109"	50	4653	1074.6
	"< 1 year"	"1"	"Randolph County, AL"	"01111"	31	3360	922.6
	"< 1 year"	"1"	"Russell County, AL"	"01113"	95	8774	1082.7
	"< 1 year"	"1"	"St. Clair County, AL"	"01115"	103	11756	876.1
	"< 1 year"	"1"	"Shelby County, AL"	"01117"	190	28347	670.3
	"< 1 year"	"1"	"Sumter County, AL"	"01119"	42	2143	1959.9
	"< 1 year"	"1"	"Talladega County, AL"	"01121"	138	12321	1120.0
	"< 1 year"	"1"	"Tallapoosa County, AL"	"01123"	58	5972	971.2
	"< 1 year"	"1"	"Tuscaloosa County, AL"	"01125"	345	26489	1302.4
	"< 1 year"	"1"	"Walker County, AL"	"01127"	114	10304	1106.4
	"< 1 year"	"1"	"Washington County, AL"	"01129"	23	2436	944.2
	"< 1 year"	"1"	"Wilcox County, AL"	"01131"	24	2177	1102.4
	"< 1 year"	"1"	"Winston County, AL"	"01133"	32	3260	981.6
	"< 1 year"	"1"	"Anchorage Borough, AK"	"02020"	286	51219	558.4
	"< 1 year"	"1"	"Bethel Census Area, AK"	"02050"	65	4257	1526.9
	"< 1 year"	"1"	"Dillingham Census Area, AK"	"02070"	11	1116	985.7 (Unreliable)
	"< 1 year"	"1"	"Fairbanks North Star Borough, AK"	"02090"	94	17897	525.2
	"< 1 year"	"1"	"Juneau Borough, AK"	"02110"	29	4507	643.4
	"< 1 year"	"1"	"Kenai Peninsula Borough, AK"	"02122"	43	7711	557.6
	"< 1 year"	"1"	"Ketchikan Gateway Borough, AK"	"02130"	15	2213	677.8 (Unreliable)
	"< 1 year"	"1"	"Kodiak Island Borough, AK"	"02150"	15	2687	558.2 (Unreliable)
	"< 1 year"	"1"	"Matanuska-Susitna Borough, AK"	"02170"	71	12984	546.8
	"< 1 year"	"1"	"Nome Census Area, AK"	"02180"	31	2287	1355.5
	"< 1 year"	"1"	"North Slope Borough, AK"	"02185"	19	1870	1016.0 (Unreliable)
	"< 1 year"	"1"	"Northwest Arctic Borough, AK"	"02188"	23	1808	1272.1
	"< 1 year"	"1"	"Wade Hampton Census Area, AK"	"02270"	37	2044	1810.2
	"< 1 year"	"1"	"Yukon-Koyukuk Census Area, AK"	"02290"	14	1078	1298.7 (Unreliable)
	"< 1 year"	"1"	"Apache County, AZ"	"04001"	124	13726	903.4
	"< 1 year"	"1"	"Cochise County, AZ"	"04003"	168	20750	809.6
	"< 1 year"	"1"	"Coconino County, AZ"	"04005"	134	21682	618.0
	"< 1 year"	"1"	"Gila County, AZ"	"04007"	72	7744	929.8
	"< 1 year"	"1"	"Graham County, AZ"	"04009"	41	6371	643.5
	"< 1 year"	"1"	"La Paz County, AZ"	"04012"	24	2463	974.4
	"< 1 year"	"1"	"Maricopa County, AZ"	"04013"	4490	669391	670.8
	"< 1 year"	"1"	"Mohave County, AZ"	"04015"	201	25998	773.1
	"< 1 year"	"1"	"Navajo County, AZ"	"04017"	155	20544	754.5
	"< 1 year"	"1"	"Pima County, AZ"	"04019"	1077	148590	724.8
	"< 1 year"	"1"	"Pinal County, AZ"	"04021"	313	46927	667.0
	"< 1 year"	"1"	"Santa Cruz County, AZ"	"04023"	50	8888	562.6
	"< 1 year"	"1"	"Yavapai County, AZ"	"04025"	140	23720	590.2
	"< 1 year"	"1"	"Yuma County, AZ"	"04027"	236	35164	671.1
	"< 1 year"	"1"	"Arkansas County, AR"	"05001"	22	3153	697.7
	"< 1 year"	"1"	"Ashley County, AR"	"05003"	32	3719	860.4
	"< 1 year"	"1"	"Baxter County, AR"	"05005"	29	4584	632.6
	"< 1 year"	"1"	"Benton County, AR"	"05007"	216	34940	618.2
	"< 1 year"	"1"	"Boone County, AR"	"05009"	40	5280	757.6
	"< 1 year"	"1"	"Bradley County, AR"	"05011"	18	1989	905.0 (Unreliable)
	"< 1 year"	"1"	"Carroll County, AR"	"05015"	33	4146	795.9
	"< 1 year"	"1"	"Chicot County, AR"	"05017"	19	2205	861.7 (Unreliable)
	"< 1 year"	"1"	"Clark County, AR"	"05019"	22	3078	714.7
	"< 1 year"	"1"	"Clay County, AR"	"05021"	17	2487	683.6 (Unreliable)
	"< 1 year"	"1"	"Cleburne County, AR"	"05023"	17	3121	544.7 (Unreliable)
	"< 1 year"	"1"	"Columbia County, AR"	"05027"	33	3567	925.1
	"< 1 year"	"1"	"Conway County, AR"	"05029"	26	3126	831.7
	"< 1 year"	"1"	"Craighead County, AR"	"05031"	142	15036	944.4
	"< 1 year"	"1"	"Crawford County, AR"	"05033"	71	9681	733.4
	"< 1 year"	"1"	"Crittenden County, AR"	"05035"	153	10005	1529.2
	"< 1 year"	"1"	"Cross County, AR"	"05037"	29	2728	1063.0
	"< 1 year"	"1"	"Dallas County, AR"	"05039"	10	1280	781.2 (Unreliable)
	"< 1 year"	"1"	"Desha County, AR"	"05041"	24	2606	921.0
	"< 1 year"	"1"	"Drew County, AR"	"05043"	26	3048	853.0
	"< 1 year"	"1"	"Faulkner County, AR"	"05045"	113	16496	685.0
	"< 1 year"	"1"	"Franklin County, AR"	"05047"	13	2770	469.3 (Unreliable)
	"< 1 year"	"1"	"Fulton County, AR"	"05049"	11	1553	708.3 (Unreliable)
	"< 1 year"	"1"	"Garland County, AR"	"05051"	106	12801	828.1
	"< 1 year"	"1"	"Grant County, AR"	"05053"	22	2506	877.9
	"< 1 year"	"1"	"Greene County, AR"	"05055"	60	6529	919.0
	"< 1 year"	"1"	"Hempstead County, AR"	"05057"	28	4221	663.3
	"< 1 year"	"1"	"Hot Spring County, AR"	"05059"	24	4781	502.0
	"< 1 year"	"1"	"Howard County, AR"	"05061"	14	2598	538.9 (Unreliable)
	"< 1 year"	"1"	"Independence County, AR"	"05063"	45	5593	804.6
	"< 1 year"	"1"	"Izard County, AR"	"05065"	14	1577	887.8 (Unreliable)
	"< 1 year"	"1"	"Jackson County, AR"	"05067"	14	2481	564.3 (Unreliable)
	"< 1 year"	"1"	"Jefferson County, AR"	"05069"	125	13158	950.0
	"< 1 year"	"1"	"Johnson County, AR"	"05071"	29	4292	675.7
	"< 1 year"	"1"	"Lawrence County, AR"	"05075"	18	2575	699.0 (Unreliable)
	"< 1 year"	"1"	"Lee County, AR"	"05077"	21	1663	1262.8
	"< 1 year"	"1"	"Lincoln County, AR"	"05079"	14	1933	724.3 (Unreliable)
	"< 1 year"	"1"	"Little River County, AR"	"05081"	12	1926	623.1 (Unreliable)
	"< 1 year"	"1"	"Logan County, AR"	"05083"	19	3352	566.8 (Unreliable)
	"< 1 year"	"1"	"Lonoke County, AR"	"05085"	75	9790	766.1
	"< 1 year"	"1"	"Madison County, AR"	"05087"	20	2346	852.5
	"< 1 year"	"1"	"Marion County, AR"	"05089"	15	1764	850.3 (Unreliable)
	"< 1 year"	"1"	"Miller County, AR"	"05091"	64	7241	883.9
	"< 1 year"	"1"	"Mississippi County, AR"	"05093"	91	9318	976.6
	"< 1 year"	"1"	"Monroe County, AR"	"05095"	13	1347	965.1 (Unreliable)
	"< 1 year"	"1"	"Nevada County, AR"	"05099"	12	1527	785.9 (Unreliable)
	"< 1 year"	"1"	"Ouachita County, AR"	"05103"	46	4257	1080.6
	"< 1 year"	"1"	"Perry County, AR"	"05105"	14	1416	988.7 (Unreliable)
	"< 1 year"	"1"	"Phillips County, AR"	"05107"	49	4799	1021.0
	"< 1 year"	"1"	"Pike County, AR"	"05109"	14	1529	915.6 (Unreliable)
	"< 1 year"	"1"	"Poinsett County, AR"	"05111"	46	4158	1106.3
	"< 1 year"	"1"	"Polk County, AR"	"05113"	27	3121	865.1
	"< 1 year"	"1"	"Pope County, AR"	"05115"	60	9455	634.6
	"< 1 year"	"1"	"Prairie County, AR"	"05117"	14	1196	1170.6 (Unreliable)
	"< 1 year"	"1"	"Pulaski County, AR"	"05119"	639	64966	983.6
	"< 1 year"	"1"	"Randolph County, AR"	"05121"	16	2602	614.9 (Unreliable)
	"< 1 year"	"1"	"St. Francis County, AR"	"05123"	52	4981	1044.0
	"< 1 year"	"1"	"Saline County, AR"	"05125"	94	13336	704.9
	"< 1 year"	"1"	"Sebastian County, AR"	"05131"	142	21719	653.8
	"< 1 year"	"1"	"Sevier County, AR"	"05133"	33	3549	929.8
	"< 1 year"	"1"	"Sharp County, AR"	"05135"	14	2186	640.4 (Unreliable)
	"< 1 year"	"1"	"Stone County, AR"	"05137"	10	1648	606.8 (Unreliable)
	"< 1 year"	"1"	"Union County, AR"	"05139"	64	6625	966.0
	"< 1 year"	"1"	"Van Buren County, AR"	"05141"	12	2001	599.7 (Unreliable)
	"< 1 year"	"1"	"Washington County, AR"	"05143"	242	34694	697.5
	"< 1 year"	"1"	"White County, AR"	"05145"	94	11377	826.2
	"< 1 year"	"1"	"Woodruff County, AR"	"05147"	11	1171	939.4 (Unreliable)
	"< 1 year"	"1"	"Yell County, AR"	"05149"	33	3855	856.0
	"< 1 year"	"1"	"Alameda County, CA"	"06001"	1207	240228	502.4
	"< 1 year"	"1"	"Amador County, CA"	"06005"	14	3420	409.4 (Unreliable)
	"< 1 year"	"1"	"Butte County, CA"	"06007"	172	28276	608.3
	"< 1 year"	"1"	"Calaveras County, CA"	"06009"	18	4417	407.5 (Unreliable)
	"< 1 year"	"1"	"Colusa County, CA"	"06011"	17	4082	416.5 (Unreliable)
	"< 1 year"	"1"	"Contra Costa County, CA"	"06013"	677	154431	438.4
	"< 1 year"	"1"	"Del Norte County, CA"	"06015"	33	3878	851.0
	"< 1 year"	"1"	"El Dorado County, CA"	"06017"	92	21072	436.6
	"< 1 year"	"1"	"Fresno County, CA"	"06019"	1227	180318	680.5
	"< 1 year"	"1"	"Glenn County, CA"	"06021"	18	5065	355.4 (Unreliable)
	"< 1 year"	"1"	"Humboldt County, CA"	"06023"	107	17989	594.8
	"< 1 year"	"1"	"Imperial County, CA"	"06025"	161	30532	527.3
	"< 1 year"	"1"	"Inyo County, CA"	"06027"	19	2494	761.8 (Unreliable)
	"< 1 year"	"1"	"Kern County, CA"	"06029"	1052	158855	662.2
	"< 1 year"	"1"	"Kings County, CA"	"06031"	182	29108	625.3
	"< 1 year"	"1"	"Lake County, CA"	"06033"	41	8296	494.2
	"< 1 year"	"1"	"Lassen County, CA"	"06035"	32	3784	845.7
	"< 1 year"	"1"	"Los Angeles County, CA"	"06037"	9225	1699077	542.9
	"< 1 year"	"1"	"Madera County, CA"	"06039"	148	27202	544.1
	"< 1 year"	"1"	"Marin County, CA"	"06041"	107	32936	324.9
	"< 1 year"	"1"	"Mariposa County, CA"	"06043"	11	1803	610.1 (Unreliable)
	"< 1 year"	"1"	"Mendocino County, CA"	"06045"	100	12715	786.5
	"< 1 year"	"1"	"Merced County, CA"	"06047"	305	49984	610.2
	"< 1 year"	"1"	"Mono County, CA"	"06051"	19	2061	921.9 (Unreliable)
	"< 1 year"	"1"	"Monterey County, CA"	"06053"	429	80176	535.1
	"< 1 year"	"1"	"Napa County, CA"	"06055"	81	18898	428.6
	"< 1 year"	"1"	"Nevada County, CA"	"06057"	45	10019	449.1
	"< 1 year"	"1"	"Orange County, CA"	"06059"	2382	498790	477.6
	"< 1 year"	"1"	"Placer County, CA"	"06061"	199	43267	459.9
	"< 1 year"	"1"	"Riverside County, CA"	"06065"	2010	340998	589.4
	"< 1 year"	"1"	"Sacramento County, CA"	"06067"	1363	231573	588.6
	"< 1 year"	"1"	"San Benito County, CA"	"06069"	45	10292	437.2
	"< 1 year"	"1"	"San Bernardino County, CA"	"06071"	2583	363055	711.5
	"< 1 year"	"1"	"San Diego County, CA"	"06073"	2716	501814	541.2
	"< 1 year"	"1"	"San Francisco County, CA"	"06075"	399	93948	424.7
	"< 1 year"	"1"	"San Joaquin County, CA"	"06077"	783	123496	634.0
	"< 1 year"	"1"	"San Luis Obispo County, CA"	"06079"	135	30320	445.3
	"< 1 year"	"1"	"San Mateo County, CA"	"06081"	485	115443	420.1
	"< 1 year"	"1"	"Santa Barbara County, CA"	"06083"	343	65644	522.5
	"< 1 year"	"1"	"Santa Clara County, CA"	"06085"	1256	299972	418.7
	"< 1 year"	"1"	"Santa Cruz County, CA"	"06087"	165	36926	446.8
	"< 1 year"	"1"	"Shasta County, CA"	"06089"	147	23741	619.2
	"< 1 year"	"1"	"Siskiyou County, CA"	"06093"	31	5582	555.4
	"< 1 year"	"1"	"Solano County, CA"	"06095"	386	65438	589.9
	"< 1 year"	"1"	"Sonoma County, CA"	"06097"	295	66065	446.5
	"< 1 year"	"1"	"Stanislaus County, CA"	"06099"	639	92993	687.1
	"< 1 year"	"1"	"Sutter County, CA"	"06101"	73	15697	465.1
	"< 1 year"	"1"	"Tehama County, CA"	"06103"	55	9594	573.3
	"< 1 year"	"1"	"Trinity County, CA"	"06105"	11	1381	796.5 (Unreliable)
	"< 1 year"	"1"	"Tulare County, CA"	"06107"	526	91833	572.8
	"< 1 year"	"1"	"Tuolumne County, CA"	"06109"	27	5572	484.6
	"< 1 year"	"1"	"Ventura County, CA"	"06111"	771	132781	580.7
	"< 1 year"	"1"	"Yolo County, CA"	"06113"	123	28012	439.1
	"< 1 year"	"1"	"Yuba County, CA"	"06115"	84	13730	611.8
	"< 1 year"	"1"	"Adams County, CO"	"08001"	570	85627	665.7
	"< 1 year"	"1"	"Alamosa County, CO"	"08003"	17	2759	616.2 (Unreliable)
	"< 1 year"	"1"	"Arapahoe County, CO"	"08005"	583	90560	643.8
	"< 1 year"	"1"	"Boulder County, CO"	"08013"	215	40715	528.1
	"< 1 year"	"1"	"Broomfield County, CO"	"08014"	26	5104	509.4
	"< 1 year"	"1"	"Conejos County, CO"	"08021"	11	1618	679.9 (Unreliable)
	"< 1 year"	"1"	"Delta County, CO"	"08029"	23	4034	570.2
	"< 1 year"	"1"	"Denver County, CO"	"08031"	874	109918	795.1
	"< 1 year"	"1"	"Douglas County, CO"	"08035"	172	45311	379.6
	"< 1 year"	"1"	"Eagle County, CO"	"08037"	35	9545	366.7
	"< 1 year"	"1"	"El Paso County, CO"	"08041"	787	101692	773.9
	"< 1 year"	"1"	"Fremont County, CO"	"08043"	40	5018	797.1
	"< 1 year"	"1"	"Garfield County, CO"	"08045"	56	9997	560.2
	"< 1 year"	"1"	"Grand County, CO"	"08049"	11	1946	565.3 (Unreliable)
