Region,FIPS,County,EA,"EA Name"
"IA - DesMoines",19001,"Adair County, IA",046,"Des Moines-Newton-Pella, IA"
"IA - DesMoines",19003,"Adams County, IA",046,"Des Moines-Newton-Pella, IA"
"IA - DesMoines",19007,"Appanoose County, IA",046,"Des Moines-Newton-Pella, IA"
"IA - DesMoines",19015,"Boone County, IA",046,"Des Moines-Newton-Pella, IA"
"IA - DesMoines",19021,"Buena Vista County, IA",046,"Des Moines-Newton-Pella, IA"
"IA - DesMoines",19025,"Calhoun County, IA",046,"Des Moines-Newton-Pella, IA"
"IA - DesMoines",19027,"Carroll County, IA",046,"Des Moines-Newton-Pella, IA"
"IA - DesMoines",19035,"Cherokee County, IA",046,"Des Moines-Newton-Pella, IA"
"IA - DesMoines",19039,"Clarke County, IA",046,"Des Moines-Newton-Pella, IA"
"IA - DesMoines",19041,"Clay County, IA",046,"Des Moines-Newton-Pella, IA"
"IA - DesMoines",19047,"Crawford County, IA",046,"Des Moines-Newton-Pella, IA"
"IA - DesMoines",19049,"Dallas County, IA",046,"Des Moines-Newton-Pella, IA"
"IA - DesMoines",19051,"Davis County, IA",046,"Des Moines-Newton-Pella, IA"
"IA - DesMoines",19053,"Decatur County, IA",046,"Des Moines-Newton-Pella, IA"
"IA - DesMoines",19059,"Dickinson County, IA",046,"Des Moines-Newton-Pella, IA"
"IA - DesMoines",19063,"Emmet County, IA",046,"Des Moines-Newton-Pella, IA"
"IA - DesMoines",19069,"Franklin County, IA",046,"Des Moines-Newton-Pella, IA"
"IA - DesMoines",19073,"Greene County, IA",046,"Des Moines-Newton-Pella, IA"
"IA - DesMoines",19077,"Guthrie County, IA",046,"Des Moines-Newton-Pella, IA"
"IA - DesMoines",19079,"Hamilton County, IA",046,"Des Moines-Newton-Pella, IA"
"IA - DesMoines",19083,"Hardin County, IA",046,"Des Moines-Newton-Pella, IA"
"IA - DesMoines",19091,"Humboldt County, IA",046,"Des Moines-Newton-Pella, IA"
"IA - DesMoines",19093,"Ida County, IA",046,"Des Moines-Newton-Pella, IA"
"IA - DesMoines",19099,"Jasper County, IA",046,"Des Moines-Newton-Pella, IA"
"IA - DesMoines",19117,"Lucas County, IA",046,"Des Moines-Newton-Pella, IA"
"IA - DesMoines",19121,"Madison County, IA",046,"Des Moines-Newton-Pella, IA"
"IA - DesMoines",19123,"Mahaska County, IA",046,"Des Moines-Newton-Pella, IA"
"IA - DesMoines",19125,"Marion County, IA",046,"Des Moines-Newton-Pella, IA"
"IA - DesMoines",19127,"Marshall County, IA",046,"Des Moines-Newton-Pella, IA"
"IA - DesMoines",19135,"Monroe County, IA",046,"Des Moines-Newton-Pella, IA"
"IA - DesMoines",19147,"Palo Alto County, IA",046,"Des Moines-Newton-Pella, IA"
"IA - DesMoines",19151,"Pocahontas County, IA",046,"Des Moines-Newton-Pella, IA"
"IA - DesMoines",19153,"Polk County, IA",046,"Des Moines-Newton-Pella, IA"
"IA - DesMoines",19157,"Poweshiek County, IA",046,"Des Moines-Newton-Pella, IA"
"IA - DesMoines",19159,"Ringgold County, IA",046,"Des Moines-Newton-Pella, IA"
"IA - DesMoines",19161,"Sac County, IA",046,"Des Moines-Newton-Pella, IA"
"IA - DesMoines",19169,"Story County, IA",046,"Des Moines-Newton-Pella, IA"
"IA - DesMoines",19171,"Tama County, IA",046,"Des Moines-Newton-Pella, IA"
"IA - DesMoines",19175,"Union County, IA",046,"Des Moines-Newton-Pella, IA"
"IA - DesMoines",19179,"Wapello County, IA",046,"Des Moines-Newton-Pella, IA"
"IA - DesMoines",19181,"Warren County, IA",046,"Des Moines-Newton-Pella, IA"
"IA - DesMoines",19185,"Wayne County, IA",046,"Des Moines-Newton-Pella, IA"
"IA - DesMoines",19187,"Webster County, IA",046,"Des Moines-Newton-Pella, IA"
"IA - DesMoines",19197,"Wright County, IA",046,"Des Moines-Newton-Pella, IA"
"IL - Chicago",17007,"Boone County, IL",032,"Chicago-Naperville-Michigan City, IL-IN-WI"
"IL - Chicago",17011,"Bureau County, IL",032,"Chicago-Naperville-Michigan City, IL-IN-WI"
"IL - Chicago",17015,"Carroll County, IL",032,"Chicago-Naperville-Michigan City, IL-IN-WI"
