ANSI,NAME,REGION
1001,"Autauga County, AL","SEA"
1003,"Baldwin County, AL","GLF"
1005,"Barbour County, AL","SEA"
1007,"Bibb County, AL","SEA"
1009,"Blount County, AL","SEA"
1011,"Bullock County, AL","SEA"
1013,"Butler County, AL","SEA"
1015,"Calhoun County, AL","SEA"
1017,"Chambers County, AL","SEA"
1019,"Cherokee County, AL","SEA"
1021,"Chilton County, AL","SEA"
1023,"Choctaw County, AL","SEA"
1025,"Clarke County, AL","SEA"
1027,"Clay County, AL","SEA"
1029,"Cleburne County, AL","SEA"
1031,"Coffee County, AL","SEA"
1033,"Colbert County, AL","SEA"
1035,"Conecuh County, AL","SEA"
1037,"Coosa County, AL","SEA"
1039,"Covington County, AL","SEA"
1041,"Crenshaw County, AL","SEA"
1043,"Cullman County, AL","SEA"
1045,"Dale County, AL","SEA"
1047,"Dallas County, AL","SEA"
1049,"DeKalb County, AL","SEA"
1051,"Elmore County, AL","SEA"
1053,"Escambia County, AL","SEA"
1055,"Etowah County, AL","SEA"
1057,"Fayette County, AL","SEA"
1059,"Franklin County, AL","SEA"
1061,"Geneva County, AL","SEA"
1063,"Greene County, AL","SEA"
1065,"Hale County, AL","SEA"
1067,"Henry County, AL","SEA"
1069,"Houston County, AL","SEA"
1071,"Jackson County, AL","SEA"
1073,"Jefferson County, AL","SEA"
1075,"Lamar County, AL","SEA"
1077,"Lauderdale County, AL","SEA"
1079,"Lawrence County, AL","SEA"
1081,"Lee County, AL","SEA"
1083,"Limestone County, AL","SEA"
1085,"Lowndes County, AL","SEA"
1087,"Macon County, AL","SEA"
1089,"Madison County, AL","SEA"
1091,"Marengo County, AL","SEA"
1093,"Marion County, AL","SEA"
1095,"Marshall County, AL","SEA"
1097,"Mobile County, AL","GLF"
1099,"Monroe County, AL","SEA"
1101,"Montgomery County, AL","SEA"
1103,"Morgan County, AL","SEA"
1105,"Perry County, AL","SEA"
1107,"Pickens County, AL","SEA"
1109,"Pike County, AL","SEA"
1111,"Randolph County, AL","SEA"
1113,"Russell County, AL","SEA"
1115,"St. Clair County, AL","SEA"
1117,"Shelby County, AL","SEA"
1119,"Sumter County, AL","SEA"
1121,"Talladega County, AL","SEA"
1123,"Tallapoosa County, AL","SEA"
1125,"Tuscaloosa County, AL","SEA"
1127,"Walker County, AL","SEA"
1129,"Washington County, AL","SEA"
1131,"Wilcox County, AL","SEA"
1133,"Winston County, AL","SEA"
2013,"Aleutians East Borough, AK","ALK"
2016,"Aleutians West Census Area, AK","ALK"
2020,"Anchorage Municipality, AK","ALK"
2050,"Bethel Census Area, AK","ALK"
2060,"Bristol Bay Borough, AK","ALK"
2068,"Denali Borough, AK","ALK"
2070,"Dillingham Census Area, AK","ALK"
2090,"Fairbanks North Star Borough, AK","ALK"
2100,"Haines Borough, AK","ALK"
2105,"Hoonah-Angoon Census Area, AK","ALK"
2110,"Juneau City and Borough, AK","ALK"
2122,"Kenai Peninsula Borough, AK","ALK"
2130,"Ketchikan Gateway Borough, AK","ALK"
2150,"Kodiak Island Borough, AK","ALK"
2164,"Lake and Peninsula Borough, AK","ALK"
2170,"Matanuska-Susitna Borough, AK","ALK"
2180,"Nome Census Area, AK","ALK"
2185,"North Slope Borough, AK","ALK"
2188,"Northwest Arctic Borough, AK","ALK"
2195,"Petersburg Census Area, AK","ALK"
2198,"Prince of Wales-Hyder Census Area, AK","ALK"
2220,"Sitka City and Borough, AK","ALK"
2230,"Skagway Municipality, AK","ALK"
2240,"Southeast Fairbanks Census Area, AK","ALK"
2261,"Valdez-Cordova Census Area, AK","ALK"
2270,"Wade Hampton Census Area, AK","ALK"
2275,"Wrangell City and Borough, AK","ALK"
2282,"Yakutat City and Borough, AK","ALK"
2290,"Yukon-Koyukuk Census Area, AK","ALK"
4001,"Apache County, AZ","SWE"
4003,"Cochise County, AZ","SWE"
4005,"Coconino County, AZ","SWE"
4007,"Gila County, AZ","SWE"
4009,"Graham County, AZ","SWE"
4011,"Greenlee County, AZ","SWE"
4012,"La Paz County, AZ","SWE"
4013,"Maricopa County, AZ","SWE"
4015,"Mohave County, AZ","SWE"
4017,"Navajo County, AZ","SWE"
4019,"Pima County, AZ","SWE"
4021,"Pinal County, AZ","SWE"
4023,"Santa Cruz County, AZ","SWE"
4025,"Yavapai County, AZ","SWE"
4027,"Yuma County, AZ","SWE"
5001,"Arkansas County, AR","SEA"
5003,"Ashley County, AR","SEA"
5005,"Baxter County, AR","SEA"
5007,"Benton County, AR","SEA"
5009,"Boone County, AR","SEA"
5011,"Bradley County, AR","SEA"
